n_mfcc;delta_mode;norm_mode;n_components;covariance_type;n_mels;accuracy
2;1;2;20;diag;12;0,1
2;1;2;20;diag;14;0,1
2;1;2;20;diag;16;0,1
2;1;2;20;diag;18;0,1
2;1;2;20;diag;20;0,1
2;1;3;2;full;2;0,1
2;1;3;2;full;4;0,1
2;1;3;2;full;6;0,1
2;1;3;2;full;8;0,1
2;1;3;2;full;10;0,1
2;1;3;2;full;12;0,1
2;1;3;2;full;14;0,1
2;1;3;2;full;16;0,1
2;1;3;2;full;18;0,1
2;1;3;2;full;20;0,1
2;1;3;2;diag;2;0,1
2;1;3;2;diag;4;0,1
2;1;3;2;diag;6;0,1
2;1;3;2;diag;8;0,1
2;1;3;2;diag;10;0,1
2;1;3;2;diag;12;0,1
2;1;3;2;diag;14;0,1
2;1;3;2;diag;16;0,1
2;1;3;2;diag;18;0,1
2;1;3;2;diag;20;0,1
2;1;3;4;full;2;0,1
2;1;3;4;full;4;0,1
2;1;3;4;full;6;0,1
2;1;3;4;full;8;0,1
2;1;3;4;full;10;0,1
2;1;3;4;full;12;0,1
2;1;3;4;full;14;0,1
2;1;3;4;full;16;0,1
2;1;3;4;full;18;0,1
2;1;3;4;full;20;0,1
2;1;3;4;diag;2;0,1
2;1;3;4;diag;4;0,1
2;1;3;4;diag;6;0,1
2;1;3;4;diag;8;0,1
2;1;3;4;diag;10;0,1
2;1;3;4;diag;12;0,1
2;1;3;4;diag;14;0,1
2;1;3;4;diag;16;0,1
2;1;3;4;diag;18;0,1
2;1;3;4;diag;20;0,1
2;1;3;8;full;2;0,1
2;1;3;8;full;4;0,1
2;1;3;8;full;6;0,1
2;1;3;8;full;8;0,1
2;1;3;8;full;10;0,1
2;1;3;8;full;12;0,1
2;1;3;8;full;14;0,1
2;1;3;8;full;16;0,1
2;1;3;8;full;18;0,1
2;1;3;8;full;20;0,1
2;1;3;8;diag;2;0,1
2;1;3;8;diag;4;0,1
2;1;3;8;diag;6;0,1
2;1;3;8;diag;8;0,1
2;1;3;8;diag;10;0,1
2;1;3;8;diag;12;0,1
2;1;3;8;diag;14;0,1
2;1;3;8;diag;16;0,1
2;1;3;8;diag;18;0,1
2;1;3;8;diag;20;0,1
2;1;3;10;full;2;0,1
2;1;3;10;full;4;0,1
2;1;3;10;full;6;0,1
2;1;3;10;full;8;0,1
2;1;3;10;full;10;0,1
2;1;3;10;full;12;0,1
2;1;3;10;full;14;0,1
2;1;3;10;full;16;0,1
2;1;3;10;full;18;0,1
2;1;3;10;full;20;0,1
2;1;3;10;diag;2;0,1
2;1;3;10;diag;4;0,1
2;1;3;10;diag;6;0,1
2;1;3;10;diag;8;0,1
2;1;3;10;diag;10;0,1
2;1;3;10;diag;12;0,1
2;1;3;10;diag;14;0,1
2;1;3;10;diag;16;0,1
2;1;3;10;diag;18;0,1
2;1;3;10;diag;20;0,1
2;1;3;12;full;2;0,1
2;1;3;12;full;4;0,1
2;1;3;12;full;6;0,1
2;1;3;12;full;8;0,1
2;1;3;12;full;10;0,1
2;1;3;12;full;12;0,1
2;1;3;12;full;14;0,1
2;1;3;12;full;16;0,1
2;1;3;12;full;18;0,1
2;1;3;12;full;20;0,1
2;1;3;12;diag;2;0,1
